base_demand,pressure_value,loss,mse,mae,r_square,fit_loss,fit_mse,fit_mae,fit_r_square,fit_val_loss,fit_val_mse,fit_val_mae,fit_val_r_square,delta_loss,delta_mse,delta_mae,delta_r_square,delta_fit_loss,delta_fit_mse,delta_fit_mae,delta_fit_r_square,delta_fit_val_loss,delta_fit_val_mse,delta_fit_val_mae,delta_fit_val_r_square,dataset,epochs
False,True,3.417543848627247e-05,3.4175442124251276e-05,0.004669960588216782,0.834159791469574,1.5521700333920307e-05,1.5521700333920307e-05,0.002524007810279727,0.9569704532623291,6.17420591879636e-05,6.17420591879636e-05,0.0051339976489543915,0.8893490433692932,0,0,0,0,0,0,0,0,0,0,0,0,1D_one_res_small_no_leaks_rand_base_dem_nodes_output.csv,31
False,True,4.0333103243028745e-05,4.0333103243028745e-05,0.004794414155185223,0.8213851451873779,0,0,0,0,0,0,0,0,6.157664756756276e-06,6.157661118777469e-06,0.000124453566968441,-0.012774646282196045,2.4811402909108438e-05,2.4811402909108438e-05,0.0022704063449054956,-0.13558530807495117,-2.140895594493486e-05,-2.140895594493486e-05,-0.00033958349376916885,-0.06796389818191528,1D_ALT_one_res_small_with_1_leaks_rand_base_dem_nodes_output.csv,0
False,True,4.848231401410885e-05,4.848231401410885e-05,0.004566794726997614,0.8186743855476379,0,0,0,0,0,0,0,0,1.4306875527836382e-05,1.4306871889857575e-05,-0.00010316586121916771,-0.015485405921936035,3.2960613680188544e-05,3.2960613680188544e-05,0.002042786916717887,-0.13829606771469116,-1.3259745173854753e-05,-1.3259745173854753e-05,-0.0005672029219567776,-0.07067465782165527,1D_ALT_one_res_small_with_1_at_8_leaks_rand_base_dem_nodes_output.csv,0
False,True,6.397809920599684e-05,6.397809920599684e-05,0.004499800968915224,0.7946100831031799,0,0,0,0,0,0,0,0,2.9802660719724372e-05,2.9802657081745565e-05,-0.00017015961930155754,-0.03954970836639404,4.8456398872076534e-05,4.8456398872076534e-05,0.001975793158635497,-0.16236037015914917,2.2360400180332363e-06,2.2360400180332363e-06,-0.0006341966800391674,-0.09473896026611328,1D_ALT_one_res_small_with_1_at_4_leaks_rand_base_dem_nodes_output.csv,0
False,True,0.0003871816152241081,0.0003871816152241081,0.012626182287931442,-0.027739524841308594,0,0,0,0,0,0,0,0,0.00035300617673783563,0.0003530061730998568,0.00795622169971466,-0.8618993163108826,0.0003716599148901878,0.0003716599148901878,0.010102174477651715,-0.9847099781036377,0.0003254395560361445,0.0003254395560361445,0.007492184638977051,-0.9170885682106018,1D_ALT_one_res_small_with_1_at_2_leaks_rand_base_dem_nodes_output.csv,0
True,False,0.00018174680008087307,0.00018174680008087307,0.004311521537601948,0.11805301904678345,0.00027549403603188694,0.00027549403603188694,0.0042434013448655605,0.23627066612243652,0.00034768637851811945,0.00034768637851811945,0.00578991649672389,0.37689417600631714,0,0,0,0,0,0,0,0,0,0,0,0,1D_one_res_small_no_leaks_rand_base_dem_nodes_output.csv,52
True,False,0.00022275815717875957,0.00022275815717875957,0.004890491254627705,0.01351708173751831,0,0,0,0,0,0,0,0,4.10113570978865e-05,4.10113570978865e-05,0.0005789697170257568,-0.10453593730926514,-5.273587885312736e-05,-5.273587885312736e-05,0.0006470899097621441,-0.2227535843849182,-0.00012492822133935988,-0.00012492822133935988,-0.0008994252420961857,-0.36337709426879883,1D_ALT_one_res_small_with_1_leaks_rand_base_dem_nodes_output.csv,0
True,False,0.00022063842334318906,0.00022063842334318906,0.0046868156641721725,0.1748042106628418,0,0,0,0,0,0,0,0,3.889162326231599e-05,3.889162326231599e-05,0.00037529412657022476,0.05675119161605835,-5.4855612688697875e-05,-5.4855612688697875e-05,0.000443414319306612,-0.06146645545959473,-0.0001270479551749304,-0.0001270479551749304,-0.0011031008325517178,-0.20208996534347534,1D_ALT_one_res_small_with_1_at_8_leaks_rand_base_dem_nodes_output.csv,0
True,False,0.00026597283431328833,0.00026597283431328833,0.0050939531065523624,0.14614301919937134,0,0,0,0,0,0,0,0,8.422603423241526e-05,8.422603423241526e-05,0.0007824315689504147,0.02809000015258789,-9.521201718598604e-06,-9.521201718598604e-06,0.0008505517616868019,-0.09012764692306519,-8.171354420483112e-05,-8.171354420483112e-05,-0.0006959633901715279,-0.2307511568069458,1D_ALT_one_res_small_with_1_at_4_leaks_rand_base_dem_nodes_output.csv,0
True,False,0.0003189608396496624,0.0003189608396496624,0.005372887942939997,0.1533464789390564,0,0,0,0,0,0,0,0,0.0001372140395687893,0.0001372140395687893,0.001061366405338049,0.03529345989227295,4.346680361777544e-05,4.346680361777544e-05,0.0011294865980744362,-0.08292418718338013,-2.872553886845708e-05,-2.872553886845708e-05,-0.0004170285537838936,-0.22354769706726074,1D_ALT_one_res_small_with_1_at_2_leaks_rand_base_dem_nodes_output.csv,0
True,True,2.926313300122274e-06,2.926313300122274e-06,0.000902690866496414,0.9857997298240662,9.354103895020671e-06,9.354103895020671e-06,0.0016887295059859753,0.9740684032440186,2.4230184862972237e-06,2.4230184862972237e-06,0.0008826025296002626,0.9956575632095337,0,0,0,0,0,0,0,0,0,0,0,0,1D_one_res_small_no_leaks_rand_base_dem_nodes_output.csv,18
True,True,2.54822725764825e-06,2.54822725764825e-06,0.0008522546268068254,0.9887151718139648,0,0,0,0,0,0,0,0,-3.78086042474024e-07,-3.78086042474024e-07,-5.043623968958855e-05,0.0029154419898986816,-6.805876637372421e-06,-6.805876637372421e-06,-0.0008364748791791499,0.014646768569946289,1.2520877135102637e-07,1.2520877135102637e-07,-3.0347902793437243e-05,-0.006942391395568848,1D_ALT_one_res_small_with_1_leaks_rand_base_dem_nodes_output.csv,0
True,True,1.0956528058159165e-05,1.0956528058159165e-05,0.0011889534071087837,0.9590221643447876,0,0,0,0,0,0,0,0,8.030214758036891e-06,8.030214758036891e-06,0.0002862625406123698,-0.026777565479278564,1.602424163138494e-06,1.602424163138494e-06,-0.0004997760988771915,-0.015046238899230957,8.533509571861941e-06,8.533509571861941e-06,0.0003063508775085211,-0.036635398864746094,1D_ALT_one_res_small_with_1_at_8_leaks_rand_base_dem_nodes_output.csv,0
True,True,4.317470666137524e-05,4.317470666137524e-05,0.002635199809446931,0.861395537853241,0,0,0,0,0,0,0,0,4.0248393361252965e-05,4.0248393361252965e-05,0.001732508942950517,-0.1244041919708252,3.382060276635457e-05,3.382060276635457e-05,0.0009464703034609556,-0.11267286539077759,4.0751688175078016e-05,4.0751688175078016e-05,0.0017525972798466682,-0.13426202535629272,1D_ALT_one_res_small_with_1_at_4_leaks_rand_base_dem_nodes_output.csv,0
True,True,0.0005888929008506238,0.0005888929008506238,0.01242793072015047,-0.5631643533706665,0,0,0,0,0,0,0,0,0.0005859665875505016,0.0005859665875505016,0.011525239853654057,-1.5489640831947327,0.0005795387969556032,0.0005795387969556032,0.010739201214164495,-1.537232756614685,0.0005864698823643266,0.0005864698823643266,0.011545328190550208,-1.5588219165802002,1D_ALT_one_res_small_with_1_at_2_leaks_rand_base_dem_nodes_output.csv,0
