startTime;edgeTime;cloudTime;notificationTime;clientName;hasLeak;leakGroup;prediction
1692258919.998;1692258920.501014;1692258920.503013;1692258920.550013;gateway_1;0;0;0
1692258920.501;1692258921.004018;1692258921.005014;1692258921.051013;gateway_1;0;0;0
1692258921.004;1692258921.507019;1692258921.508013;1692258921.557035;gateway_1;0;0;0
1692258921.507;1692258922.010016;1692258922.011014;1692258922.057014;gateway_1;0;0;0
1692258922.009;1692258922.512012;1692258922.513014;1692258922.563738;gateway_1;0;0;0
1692258922.511;1692258923.014214;1692258923.015212;1692258923.070213;gateway_1;0;0;0
1692258923.014;1692258923.517211;1692258923.518212;1692258923.565213;gateway_1;0;0;0
1692258923.517;1692258924.02023;1692258924.021223;1692258924.07421;gateway_1;0;0;0
1692258924.02;1692258924.523212;1692258924.525211;1692258924.61623;gateway_1;0;0;0
1692258924.523;1692258925.026212;1692258925.027219;1692258925.072971;gateway_1;0;0;0
1692258925.026;1692258925.529764;1692258925.531764;1692258925.577762;gateway_1;0;0;0
1692258925.529;1692258926.031763;1692258926.032763;1692258926.079761;gateway_1;0;0;0
1692258926.031;1692258926.534763;1692258926.535762;1692258926.588761;gateway_1;0;0;0
1692258926.534;1692258927.037763;1692258927.038762;1692258927.089763;gateway_1;0;0;0
1692258957.207;1692258957.711025;1692258957.712024;1692258957.758025;gateway_1;0;0;0
1692258957.709;1692258958.212088;1692258958.213087;1692258958.259083;gateway_1;0;0;0
1692258958.212;1692258958.714774;1692258958.715776;1692258958.764774;gateway_1;0;0;0
1692258958.714;1692258959.218886;1692258959.219986;1692258959.266029;gateway_1;0;0;0
1692258959.218;1692258959.720811;1692258959.72181;1692258959.768808;gateway_1;0;0;0
1692258959.72;1692258960.22381;1692258960.224809;1692258960.272809;gateway_1;0;0;0
1692258960.223;1692258960.726809;1692258960.727811;1692258960.78281;gateway_1;0;0;0
1692258960.726;1692258961.229808;1692258961.230809;1692258961.276807;gateway_1;0;0;0
1692258961.229;1692258961.73281;1692258961.734812;1692258961.78181;gateway_1;0;0;0
1692258961.732;1692258962.235811;1692258962.236809;1692258962.283807;gateway_1;0;0;0
1692258962.236;1692258962.738912;1692258962.739915;1692258962.793547;gateway_1;0;0;0
1692258962.738;1692258963.241201;1692258963.242201;1692258963.288218;gateway_1;0;0;0
1692258963.241;1692258963.744204;1692258963.746202;1692258963.794203;gateway_1;0;0;0
1692258963.744;1692258964.247203;1692258964.249204;1692258964.295202;gateway_1;0;0;0
1692258964.247;1692258964.750203;1692258964.751201;1692258964.798203;gateway_1;0;0;0
1692258964.75;1692258965.252953;1692258965.253954;1692258965.300952;gateway_1;0;0;0
1692258965.253;1692258965.757604;1692258965.759084;1692258965.805634;gateway_1;0;0;0
1692258965.756;1692258966.259634;1692258966.261635;1692258966.308634;gateway_1;0;0;0
1692258966.26;1692258966.763634;1692258966.764633;1692258966.81064;gateway_1;0;0;0
1692258966.763;1692258967.265634;1692258967.267633;1692258967.31363;gateway_1;0;0;0
1692258997.436;1692258997.939107;1692258997.940108;1692258997.987108;gateway_1;0;0;0
1692258997.938;1692258998.441962;1692258998.442968;1692258998.488961;gateway_1;0;0;0
1692258998.441;1692258998.944965;1692258998.946962;1692258998.992964;gateway_1;0;0;0
1692258998.945;1692258999.448163;1692258999.449165;1692258999.495162;gateway_1;0;0;0
1692258999.448;1692258999.952164;1692258999.953165;1692258999.999166;gateway_1;0;0;0
1692258999.951;1692259000.454169;1692259000.455165;1692259000.502165;gateway_1;0;0;0
1692259000.454;1692259000.95895;1692259000.960506;1692259001.006046;gateway_1;0;0;0
1692259000.957;1692259001.460063;1692259001.461053;1692259001.508063;gateway_1;0;0;0
1692259001.46;1692259001.96407;1692259001.965055;1692259002.011049;gateway_1;0;0;0
1692259001.963;1692259002.466051;1692259002.467051;1692259002.513049;gateway_1;0;0;0
1692259002.466;1692259002.971892;1692259002.973522;1692259003.019719;gateway_1;0;0;0
1692259002.97;1692259003.472719;1692259003.473737;1692259003.521719;gateway_1;0;0;0
1692259003.472;1692259003.975718;1692259003.97672;1692259004.023736;gateway_1;0;0;0
1692259003.975;1692259004.477722;1692259004.479721;1692259004.525717;gateway_1;0;0;0
1692259004.477;1692259004.980728;1692259004.981718;1692259005.028717;gateway_1;0;0;0
1692259004.98;1692259005.483549;1692259005.485552;1692259005.532554;gateway_1;0;0;0
1692259005.483;1692259005.986554;1692259005.987548;1692259006.035549;gateway_1;0;0;0
1692259005.986;1692259006.489549;1692259006.491549;1692259006.537549;gateway_1;0;0;0
1692259006.489;1692259006.993552;1692259006.99455;1692259007.04155;gateway_1;0;0;0
1692259006.993;1692259007.495551;1692259007.49655;1692259007.543561;gateway_1;0;0;0
1692259037.669;1692259038.172489;1692259038.173488;1692259038.220485;gateway_1;0;0;0
1692259038.172;1692259038.675206;1692259038.676198;1692259038.7262;gateway_1;0;0;0
1692259038.675;1692259039.179388;1692259039.181012;1692259039.227656;gateway_1;0;0;0
1692259039.179;1692259039.681414;1692259039.68243;1692259039.729413;gateway_1;0;0;0
1692259039.681;1692259040.183416;1692259040.184415;1692259040.231416;gateway_1;0;0;0
1692259040.183;1692259040.686416;1692259040.687416;1692259040.732414;gateway_1;0;0;0
1692259040.686;1692259041.189414;1692259041.190415;1692259041.237434;gateway_1;0;0;0
1692259041.189;1692259041.691416;1692259041.692418;1692259041.739413;gateway_1;0;0;0
1692259041.691;1692259042.193435;1692259042.194416;1692259042.244416;gateway_1;0;0;0
1692259042.193;1692259042.696198;1692259042.697198;1692259042.743195;gateway_1;0;0;0
1692259042.696;1692259043.198779;1692259043.200781;1692259043.247776;gateway_1;0;0;0
1692259043.198;1692259043.701777;1692259043.702794;1692259043.759779;gateway_1;0;0;0
1692259043.701;1692259044.203779;1692259044.204778;1692259044.25042;gateway_1;0;0;0
1692259044.203;1692259044.716063;1692259044.71986;1692259044.770927;gateway_1;0;0;0
1692259044.712;1692259045.216995;1692259045.218082;1692259045.27277;gateway_1;0;0;0
1692259045.216;1692259045.71877;1692259045.720773;1692259045.767475;gateway_1;0;0;0
1692259045.718;1692259046.222473;1692259046.223473;1692259046.280472;gateway_1;0;0;0
1692259046.222;1692259046.724473;1692259046.726474;1692259046.772471;gateway_1;0;0;0
1692259046.724;1692259047.227473;1692259047.228473;1692259047.27547;gateway_1;0;0;0
1692259047.227;1692259047.730259;1692259047.73226;1692259047.777257;gateway_1;0;0;0
1692259077.906;1692259078.410819;1692259078.411821;1692259078.460285;gateway_1;0;0;0
1692259078.41;1692259078.91274;1692259078.913824;1692259078.960113;gateway_1;0;0;0
1692259078.912;1692259079.414794;1692259079.415798;1692259079.462794;gateway_1;0;0;0
1692259079.414;1692259079.918794;1692259079.919793;1692259079.965794;gateway_1;0;0;0
1692259079.918;1692259080.421796;1692259080.422795;1692259080.470457;gateway_1;0;0;0
1692259080.422;1692259080.925057;1692259080.926057;1692259080.973057;gateway_1;0;0;0
1692259080.925;1692259081.428058;1692259081.429058;1692259081.476072;gateway_1;0;0;0
1692259081.427;1692259081.93007;1692259081.931057;1692259081.977056;gateway_1;0;0;0
1692259081.929;1692259082.432076;1692259082.433071;1692259082.480055;gateway_1;0;0;0
1692259082.432;1692259082.935373;1692259082.936569;1692259082.982954;gateway_1;0;0;0
1692259082.934;1692259083.437942;1692259083.438942;1692259083.486944;gateway_1;0;0;0
1692259083.438;1692259083.940943;1692259083.941942;1692259083.98794;gateway_1;0;0;0
1692259083.94;1692259084.444537;1692259084.44665;1692259084.493338;gateway_1;0;0;0
1692259084.444;1692259084.947337;1692259084.948336;1692259084.994334;gateway_1;0;0;0
1692259084.947;1692259085.45004;1692259085.452044;1692259085.498042;gateway_1;0;0;0
1692259085.45;1692259085.953044;1692259085.954052;1692259086.000039;gateway_1;0;0;0
1692259085.953;1692259086.457042;1692259086.458043;1692259086.505051;gateway_1;0;0;0
1692259086.456;1692259086.959039;1692259086.960039;1692259087.007038;gateway_1;0;0;0
1692259086.959;1692259087.463723;1692259087.464924;1692259087.581797;gateway_1;0;0;0
1692259087.463;1692259087.966316;1692259087.967332;1692259088.014314;gateway_1;0;0;0
1692259118.137;1692259118.6411;1692259118.642103;1692259118.6931;gateway_1;0;0;0
1692259118.64;1692259119.143104;1692259119.14511;1692259119.194101;gateway_1;0;0;0
1692259119.143;1692259119.646724;1692259119.648726;1692259119.69472;gateway_1;0;0;0
1692259119.646;1692259120.148722;1692259120.150722;1692259120.196726;gateway_1;0;0;0
1692259120.149;1692259120.654086;1692259120.65591;1692259120.710099;gateway_1;0;0;0
1692259120.652;1692259121.155098;1692259121.156102;1692259121.203089;gateway_1;0;0;0
1692259121.155;1692259121.660771;1692259121.662433;1692259121.711396;gateway_1;0;0;0
1692259121.659;1692259122.162395;1692259122.163397;1692259122.210414;gateway_1;0;0;0
1692259122.161;1692259122.67623;1692259122.679161;1692259122.737157;gateway_1;0;0;0
1692259122.675;1692259123.183873;1692259123.184873;1692259123.232872;gateway_1;0;0;0
1692259123.183;1692259123.688072;1692259123.690247;1692259123.73737;gateway_1;0;0;0
1692259123.687;1692259124.190369;1692259124.193967;1692259124.242271;gateway_1;0;0;0
1692259124.19;1692259124.694276;1692259124.696274;1692259124.81727;gateway_1;0;0;0
1692259124.694;1692259125.199286;1692259125.200542;1692259125.248175;gateway_1;0;0;0
1692259125.198;1692259125.701173;1692259125.702174;1692259125.752175;gateway_1;0;0;0
1692259125.701;1692259126.204174;1692259126.206176;1692259126.252176;gateway_1;0;0;0
1692259126.204;1692259126.707175;1692259126.709176;1692259126.755177;gateway_1;0;0;0
1692259126.707;1692259127.220417;1692259127.222697;1692259127.269906;gateway_1;0;0;0
1692259127.219;1692259127.722504;1692259127.723504;1692259127.770504;gateway_1;0;0;0
1692259127.721;1692259128.225505;1692259128.226489;1692259128.273414;gateway_1;0;0;0
1692259158.477;1692259158.980355;1692259158.982353;1692259159.028348;gateway_1;0;0;0
1692259158.98;1692259159.483212;1692259159.484202;1692259159.5312;gateway_1;0;0;0
1692259159.483;1692259159.986203;1692259159.987202;1692259160.034203;gateway_1;0;0;0
1692259159.986;1692259160.4892;1692259160.490203;1692259160.536197;gateway_1;0;0;0
1692259160.489;1692259160.991203;1692259160.9922;1692259161.0392;gateway_1;0;0;0
1692259160.991;1692259161.493216;1692259161.494199;1692259161.540198;gateway_1;0;0;0
1692259161.492;1692259161.995205;1692259161.996204;1692259162.0432;gateway_1;0;0;0
1692259161.995;1692259162.497202;1692259162.498199;1692259162.544198;gateway_1;0;0;0
1692259162.497;1692259162.999567;1692259163.000571;1692259163.046567;gateway_1;0;0;0
1692259162.999;1692259163.501563;1692259163.502566;1692259163.548564;gateway_1;0;0;0
1692259163.501;1692259164.004564;1692259164.006566;1692259164.051564;gateway_1;0;0;0
1692259164.004;1692259164.507567;1692259164.508574;1692259164.554561;gateway_1;0;0;0
1692259164.507;1692259165.010566;1692259165.011564;1692259165.058329;gateway_1;0;0;0
1692259165.01;1692259165.51417;1692259165.515168;1692259165.562169;gateway_1;0;0;0
1692259165.514;1692259166.017171;1692259166.019172;1692259166.065182;gateway_1;0;0;0
1692259166.017;1692259166.520171;1692259166.52118;1692259166.567168;gateway_1;0;0;0
1692259166.52;1692259167.024169;1692259167.02617;1692259167.072166;gateway_1;0;0;0
1692259167.023;1692259167.526169;1692259167.52717;1692259167.57384;gateway_1;0;0;0
1692259167.526;1692259168.028303;1692259168.030307;1692259168.076302;gateway_1;0;0;0
1692259168.028;1692259168.530627;1692259168.531627;1692259168.585631;gateway_1;0;0;0
1692259198.703;1692259199.206724;1692259199.207724;1692259199.254725;gateway_1;0;0;0
1692259199.206;1692259199.708363;1692259199.710399;1692259199.755875;gateway_1;0;0;0
1692259199.708;1692259200.210872;1692259200.211872;1692259200.258871;gateway_1;0;0;0
1692259200.21;1692259200.712873;1692259200.715872;1692259200.762871;gateway_1;0;0;0
1692259200.713;1692259201.215873;1692259201.216872;1692259201.270877;gateway_1;0;0;0
1692259201.216;1692259201.720263;1692259201.721262;1692259201.768263;gateway_1;0;0;0
1692259201.72;1692259202.222267;1692259202.225263;1692259202.272269;gateway_1;0;0;0
1692259202.222;1692259202.726871;1692259202.728167;1692259202.774008;gateway_1;0;0;0
1692259202.726;1692259203.228824;1692259203.229826;1692259203.275827;gateway_1;0;0;0
1692259203.229;1692259203.73263;1692259203.733783;1692259203.779979;gateway_1;0;0;0
1692259203.732;1692259204.234989;1692259204.235978;1692259204.28698;gateway_1;0;0;0
1692259204.235;1692259204.73898;1692259204.739977;1692259204.785975;gateway_1;0;0;0
1692259204.738;1692259205.240779;1692259205.24178;1692259205.291781;gateway_1;0;0;0
1692259205.24;1692259205.743782;1692259205.74578;1692259205.792796;gateway_1;0;0;0
1692259205.744;1692259206.246781;1692259206.24878;1692259206.294778;gateway_1;0;0;0
1692259206.246;1692259206.749781;1692259206.75078;1692259206.796781;gateway_1;0;0;0
1692259206.749;1692259207.251788;1692259207.252779;1692259207.298778;gateway_1;0;0;0
1692259207.251;1692259207.755476;1692259207.75648;1692259207.802258;gateway_1;0;0;0
1692259207.754;1692259208.257024;1692259208.258025;1692259208.305759;gateway_1;0;0;0
1692259208.256;1692259208.759766;1692259208.761762;1692259208.814759;gateway_1;0;0;0
1692259238.932;1692259239.436955;1692259239.438616;1692259239.484549;gateway_1;0;0;0
1692259239.436;1692259239.939556;1692259239.940552;1692259239.986548;gateway_1;0;0;0
1692259239.939;1692259240.442552;1692259240.443552;1692259240.490549;gateway_1;0;0;0
1692259240.442;1692259240.945551;1692259240.946552;1692259240.99455;gateway_1;0;0;0
1692259240.945;1692259241.449978;1692259241.451145;1692259241.497415;gateway_1;0;0;0
1692259241.449;1692259241.953607;1692259241.954701;1692259242.002518;gateway_1;0;0;0
1692259241.952;1692259242.455509;1692259242.456509;1692259242.512524;gateway_1;0;0;0
1692259242.455;1692259242.958963;1692259242.959964;1692259243.006965;gateway_1;0;0;0
1692259242.958;1692259243.460964;1692259243.461964;1692259243.507975;gateway_1;0;0;0
1692259243.46;1692259243.962983;1692259243.964972;1692259244.012971;gateway_1;0;0;0
1692259243.963;1692259244.465964;1692259244.466963;1692259244.514963;gateway_1;0;0;0
1692259244.466;1692259244.968971;1692259244.969963;1692259245.017963;gateway_1;0;0;0
1692259244.969;1692259245.471667;1692259245.472666;1692259245.526667;gateway_1;0;0;0
1692259245.471;1692259245.974688;1692259245.976667;1692259246.024667;gateway_1;0;0;0
1692259245.974;1692259246.477668;1692259246.479669;1692259246.525663;gateway_1;0;0;0
1692259246.477;1692259246.981667;1692259246.98367;1692259247.029666;gateway_1;0;0;0
1692259246.98;1692259247.483676;1692259247.484666;1692259247.536668;gateway_1;0;0;0
1692259247.483;1692259247.98686;1692259247.987878;1692259248.033864;gateway_1;0;0;0
1692259247.987;1692259248.489543;1692259248.49156;1692259248.537538;gateway_1;0;0;0
1692259248.489;1692259248.992541;1692259248.99354;1692259249.040552;gateway_1;0;0;0
1692259279.17;1692259279.673578;1692259279.674578;1692259279.721574;gateway_1;0;0;0
1692259279.673;1692259280.176579;1692259280.177576;1692259280.224578;gateway_1;0;0;0
1692259280.176;1692259280.679593;1692259280.681577;1692259280.729576;gateway_1;0;0;0
1692259280.679;1692259281.182579;1692259281.183578;1692259281.233576;gateway_1;0;0;0
1692259281.182;1692259281.685578;1692259281.686581;1692259281.735581;gateway_1;0;0;0
1692259281.685;1692259282.18858;1692259282.189577;1692259282.241575;gateway_1;0;0;0
1692259282.188;1692259282.691424;1692259282.692423;1692259282.744423;gateway_1;0;0;0
1692259282.691;1692259283.194031;1692259283.195031;1692259283.24803;gateway_1;0;0;0
1692259283.194;1692259283.697031;1692259283.699038;1692259283.749028;gateway_1;0;0;0
1692259283.697;1692259284.20003;1692259284.20203;1692259284.24803;gateway_1;0;0;0
1692259284.2;1692259284.704029;1692259284.705032;1692259284.751029;gateway_1;0;0;0
1692259284.703;1692259285.205537;1692259285.206548;1692259285.252534;gateway_1;0;0;0
1692259285.205;1692259285.707556;1692259285.709539;1692259285.757535;gateway_1;0;0;0
1692259285.707;1692259286.209537;1692259286.210536;1692259286.256536;gateway_1;0;0;0
1692259286.209;1692259286.713539;1692259286.714537;1692259286.761536;gateway_1;0;0;0
1692259286.713;1692259287.215551;1692259287.216538;1692259287.262533;gateway_1;0;0;0
1692259287.215;1692259287.719242;1692259287.720243;1692259287.767243;gateway_1;0;0;0
1692259287.719;1692259288.221714;1692259288.222713;1692259288.268712;gateway_1;0;0;0
1692259288.221;1692259288.725155;1692259288.727147;1692259288.772142;gateway_1;0;0;0
1692259288.725;1692259289.227144;1692259289.228144;1692259289.274141;gateway_1;0;0;0
1692259319.405;1692259319.908337;1692259319.909337;1692259319.956334;gateway_1;0;0;0
1692259319.908;1692259320.41149;1692259320.413567;1692259320.460083;gateway_1;0;0;0
1692259320.411;1692259320.913961;1692259320.915959;1692259320.963959;gateway_1;0;0;0
1692259320.914;1692259321.416962;1692259321.417959;1692259321.46496;gateway_1;0;0;0
1692259321.417;1692259321.91996;1692259321.920959;1692259321.967958;gateway_1;0;0;0
1692259321.92;1692259322.423575;1692259322.424593;1692259322.473573;gateway_1;0;0;0
1692259322.423;1692259322.925213;1692259322.927211;1692259322.980209;gateway_1;0;0;0
1692259322.925;1692259323.42822;1692259323.429213;1692259323.477213;gateway_1;0;0;0
1692259323.428;1692259323.930212;1692259323.93121;1692259323.980212;gateway_1;0;0;0
1692259323.93;1692259324.432219;1692259324.43422;1692259324.497213;gateway_1;0;0;0
1692259324.432;1692259324.935211;1692259324.937212;1692259324.991215;gateway_1;0;0;0
1692259324.935;1692259325.438181;1692259325.440179;1692259325.48618;gateway_1;0;0;0
1692259325.438;1692259325.941186;1692259325.94218;1692259325.990194;gateway_1;0;0;0
1692259325.941;1692259326.443181;1692259326.445181;1692259326.492179;gateway_1;0;0;0
1692259326.443;1692259326.946182;1692259326.94718;1692259326.993179;gateway_1;0;0;0
1692259326.946;1692259327.449194;1692259327.450181;1692259327.607931;gateway_1;0;0;0
1692259327.449;1692259327.952301;1692259327.953301;1692259327.999302;gateway_1;0;0;0
1692259327.952;1692259328.454943;1692259328.455944;1692259328.503943;gateway_1;0;0;0
1692259328.454;1692259328.956943;1692259328.957943;1692259329.003942;gateway_1;0;0;0
1692259328.956;1692259329.459757;1692259329.461739;1692259329.508738;gateway_1;0;0;0
1692259359.631;1692259360.135671;1692259360.136678;1692259360.182667;gateway_1;0;0;0
1692259360.134;1692259360.637669;1692259360.638674;1692259360.684668;gateway_1;0;0;0
